,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
791,"Eichinger, John",,United,1999,2005,4,4,Otros,Apuñalamiento,Hombres
793,"Ellis, Walter E.",The Milwaukee North Side Strangler,United,1986,2007,8,10+,Otros,Estrangulamiento,Desconocidos
794,"Engleman, Glennon",,United,1958,1980,5,7+,Otros,Asesinato,Hombres
795,"Erskine, Scott",,United,1989,1993,3,3+,Violación,Asesinato,Menores
796,"Ervin, Joe Michael",,United,1969,1981,6,6,Otros,Disparo,Desconocidos
797,"Escobar, Ramon",,United,2018,2023,7,8,Paliza,Asesinato,Personas_Vulnerables
799,"Evans, Donald Leroy",,United,1985,1991,3,70,Otros,Asesinato,Desconocidos
800,"Evans, Franklin B.",The Northwood Murderer,United,1850,1872,2,5+,Otros,Asesinato,Mujeres
801,"Evans, Gary",,United,1985,1997,5,5,Otros,Asesinato,Desconocidos
802,"Evonitz, Richard",,United,1996,1997,3,3+,Violación,Asesinato,Mujeres
804,"Eyler, Larry",The Interstate Killer,United,1982,1984,21,24,Otros,Asesinato,Hombres
805,"Falling, Christine",,United,1980,1982,6,6,Otros,Estrangulamiento,Desconocidos
806,"Falls, Neal",,United,1992,2015,0,10+,Otros,Asesinato,Hombres
807,"Fautenberry, John",,United,1990,1991,5,6,Otros,Asesinato,Personas_Vulnerables
808,"Fayne, Lorenzo",,United,1989,1993,6,6,Violación,Asesinato,Menores
809,"Feltner, Jeffrey",end their suffering,United,1988,1989,7,7,Otros,Asesinato,Mujeres
810,"Ferguson, John Errol",,United,1974,1978,8,12,Otros,Asesinato,Personas_Vulnerables
811,"Fernandes, Roberto Wagner",,United,2000,2001,3,4+,Otros,Asesinato,Prostitutas
812,"Fernandez, Raymond",The Lonely Hearts Killers,United,1947,1949,3,20,Otros,Asesinato,Desconocidos
814,"Fish, Albert",The Werewolf of Wysteria,United,1924,1932,3,8+,Canibalismo,Asesinato,Menores
815,"Fisher, Constance",,United,1954,1966,6,6,Otros,Estrangulamiento,Menores
817,"Fitzsimmons, George",The Karate Chop Killer,United,1969,1973,4,4,Otros,Asesinato,Hombres
818,"Flowers, Norman",,United,2004,2005,3,4,Violación,Estrangulamiento,Hombres
820,"Ford, Wayne Adam",,United,1997,1998,4,4+,Otros,Asesinato,Hombres
822,"Fountain, Clayton Anthony",,United,1974,1983,5,5,Otros,Asesinato,Desconocidos
823,"Francois, Kendall",The Poughkeepsie Killer,United,1996,1998,8,10+,Otros,Asesinato,Hombres
824,"Franklin, Joseph Paul",,United,1977,1980,11,22,Otros,Asesinato,Desconocidos
825,"Franklin Jr., Lonnie David",The Grim Sleeper,United,1985,2007,10,25+,Otros,Asesinato,Desconocidos
826,"Frederick, James Anthony",,United,1991,1992,3,3,Otros,Asesinato,Personas_Vulnerables
827,"Gacy, John Wayne",The Killer Clown,United,1972,1978,33,33+,Otros,Asesinato,Hombres
828,"Gallego, Gerald",,United,1978,1980,10,10,Otros,Asesinato,Desconocidos
829,"Garcia, Anthony",,United,2008,2013,4,4,Otros,Asesinato,Personas_Vulnerables
830,"Gardner, Ray Dempsey",,United,1941,1949,3,3,Otros,Asesinato,Personas_Vulnerables
832,"Gargiulo, Michael",The Hollywood Ripper,United,1993,2008,3,10,Otros,Apuñalamiento,Hombres
833,"Garrison, Wayne Henry",,United,1972,1989,3,3,Otros,Asesinato,Menores
834,"Gary, Carlton",The Stocking Strangler,United,1970,1978,4,8+,Violación,Estrangulamiento,Hombres
835,"Gaskins, Donald Henry",,United,1953,1982,9,100+,Otros,Asesinato,Desconocidos
836,"Gay, Randy",,United,1978,2011,3,3,Otros,Asesinato,Hombres
837,"Gayles, Clifford",,United,1934,1947,3,3,Otros,Asesinato,Desconocidos
838,"Gaynor, Alfred",,United,1995,1998,9,9,Violación,Estrangulamiento,Hombres
839,"Gecht, Robin",The Ripper Crew,United,1981,1982,18,18,Culto satánico,Asesinato,Desconocidos
840,"Gein, Ed",The Plainfield Ghoul,United,1954,1957,2,7,Otros,Asesinato,Desconocidos
