,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
1360,Michigan Murders,,United,1967,1969,1,7,Violación,Apuñalamiento,hombres
1361,New Bedford Highway Killer,,United,1988,1989,9,11,Otros,Asesinato,hombres
1362,Oakland County Child Killer,Babysitter,United,1976,1977,4,4+,Otros,Asesinato,menores
1363,Oklahoma City Butcher,,United,1976,1986,3,3,Otros,Asesinato,hombres
1364,Package Killer,,United,1990,Unknown,3,5+,Otros,Asesinato,prostitutas
1365,Phantom Killer,,United,1946,Unknown,5,5,Otros,Asesinato,desconocidos
1366,Pittsburg serial murders,,United,1998,1999,5,5,Otros,Asesinato,hombres
1367,1996 Raleigh murders,,United,1996,Unknown,6,6,Violación,Asesinato,desconocidos
1368,Redhead murders,The Bible Belt Strangler,United,1978,1992,8,11,Otros,Estrangulamiento,desconocidos
1369,Santa Rosa hitchhiker murders,,United,1972,1973,7,7+,Otros,Asesinato,desconocidos
1370,Servant Girl Annihilator,Austin Axe Murderer,United,1884,1885,8,8,Otros,Asesinato,desconocidos
1371,Skid Row Stabber,,United,1978,1979,11,11,Otros,Asesinato,hombres
1372,Smiley face murder theory,,United,1990s,2000s,0,40+,Otros,Estrangulamiento,hombres
1373,Storyville Slayer,,United,1991,1996,24,24+,Secuestro,Estrangulamiento,prostitutas
1374,Stockton serial shootings,,United,2021,2022,6,7+,Otros,Disparo,hombres
1375,Suitland murders,,United,1986,1987,5,9,Violación,Apuñalamiento,hombres
1376,Texas Killing Fields,,United,1970s,2000s,4,30+,Otros,Asesinato,mujeres
1377,Tube Sock Killings,,United,1985,Unknown,4,6,Otros,Asesinato,desconocidos
1378,West Mesa murders,,United,2003,2009,11,11+,Otros,Asesinato,hombres
1379,Zodiac Killer,,United,1968,1974,5,37,Otros,Asesinato,personas_vulnerables
1380,"Paddock, Stephen Craig, 64",,United,2017,Unknown,60,Unconfirmed,Otros,Asesinato,personas_vulnerables
1381,"Gonzales, Francisco Paula, 27",,United,1964,Unknown,43,Unconfirmed,Otros,Asesinato,desconocidos
1382,"Burke, David Augustus, 35",,United,1987,Unknown,42,Unconfirmed,Otros,Asesinato,desconocidos
1383,"Kelley, Devin Patrick, 26[n 1]",,United,2017,Unknown,25,Unconfirmed,Otros,Asesinato,desconocidos
1384,"Hennard, George Pierre, 35",,United,1991,Unknown,23,Unconfirmed,Otros,Asesinato,desconocidos
1385,"Huberty, James Oliver, 41",,United,1984,Unknown,21,Unconfirmed,Otros,Asesinato,desconocidos
1386,"Wong, Jiverly Antares, 41",,United,2009,Unknown,13,Unconfirmed,Otros,Asesinato,desconocidos
1387,"Unruh, Howard Barton, 28",,United,1949,Unknown,13,Unconfirmed,Otros,Asesinato,hombres
1388,"Holmes, James Eagan, 24",,United,2012,Unknown,12,Unconfirmed,Otros,Asesinato,hombres
1389,"Tran, Huu Can, 72",,United,2023,Unknown,11,Unconfirmed,Otros,Asesinato,desconocidos
1390,"Pough, James Edward, 42",,United,1990,Unknown,11,Unconfirmed,Otros,Asesinato,hombres
1391,"Long, Ian David, 28",,United,2018,Unknown,11,Unconfirmed,Otros,Asesinato,desconocidos
1392,"McLendon, Michael Kenneth, 28[n 2]",,United,2009,Unknown,10,Unconfirmed,Otros,Asesinato,desconocidos
1393,"Muhammad, John Allen, 41 Malvo, Lee Boyd, 17",,United,2002,Unknown,10,Unconfirmed,Otros,Asesinato,hombres
1394,"Starkweather, Charles Raymond, 19 Fugate, Caril Ann, 14[n 1]",,United,1958,Unknown,10,Unconfirmed,Otros,Asesinato,hombres
1395,"Mullin, Herbert William, 25",,United,1973,Unknown,10,Unconfirmed,Otros,Asesinato,hombres
1396,"Al-Issa, Ahmad Al Aliwi, 21 (accused)",,United,2021,Unknown,10,Unconfirmed,Otros,Asesinato,hombres
1397,"Twigg, Gilbert, 35",,United,1903,Unknown,9,Unconfirmed,Otros,Asesinato,desconocidos
1398,"Bertucci, Clarence V., 23[n 3]",,United,1945,Unknown,9,Unconfirmed,Otros,Asesinato,desconocidos
1399,"Betts, Connor Stephen, 24[n 1]",,United,2019,Unknown,9,Unconfirmed,Otros,Asesinato,desconocidos
1400,"Silka, Michael Allen, 25",,United,1984,Unknown,9,Unconfirmed,Otros,Asesinato,desconocidos
1401,"Cooksey, Cleophus Emmanuel, 35 (accused)[n 1]",,United,2017,Unknown,9,Unconfirmed,Otros,Asesinato,desconocidos
1402,"Jones, Walter, 20 Jones, William, 18",,United,1913,Unknown,8+,Unconfirmed,Otros,Asesinato,hombres
1403,"Ferri, Gian Luigi, 55",,United,1993,Unknown,8,Unconfirmed,Otros,Asesinato,desconocidos
1404,"Hawkins, Robert Arthur, 19",,United,2007,Unknown,8,Unconfirmed,Otros,Asesinato,desconocidos
1405,"Brown, Carl Robert, 51",,United,1982,Unknown,8,Unconfirmed,Otros,Asesinato,desconocidos
1406,"Stewart, Robert Kenneth Wayne, 45",,United,2009,Unknown,8,Unconfirmed,Otros,Asesinato,hombres
1407,"Dekraai, Scott Evans, 53",,United,2011,Unknown,8,Unconfirmed,Otros,Asesinato,hombres
1408,"Long, Robert Aaron, 21",,United,2021,Unknown,8,Unconfirmed,Otros,Asesinato,desconocidos
1410,"Sheley, Nicholas Troy, 28",,United,2008,Unknown,8,Unconfirmed,Otros,Asesinato,hombres
1411,"Crimo, Robert Eugene III, 21 (accused)",,United,2022,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1412,"Phillips, Monroe, 58",,United,1915,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1413,"Ator, Seth Aaron, 36",,United,2019,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1414,"Everette, Eugene, 32[n 1]",,United,1970,Unknown,7,Unconfirmed,Otros,Asesinato,hombres
1415,"Bonner, William Ray, 25",,United,1973,Unknown,7,Unconfirmed,Otros,Asesinato,hombres
1416,"Ashbrook, Larry Gene, 47",,United,1999,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1417,"Ratzmann, Terry Michael, 44",,United,2005,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1418,"Collins, Melvin, 38",,United,1948,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1419,"Collins, Darnell, 33",,United,1995,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1420,Gung Ung Chang,,United,1898,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1421,"Reynolds, William, 35",,United,1902,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1422,"Pearson, Eric Emanuel, 56",,United,1968,Unknown,7,Unconfirmed,Otros,Asesinato,hombres
1423,"Hardesty, William Edward, 21[n 1]",,United,1978,Unknown,7,Unconfirmed,Otros,Asesinato,hombres
